Name,Message,Message type,VI SDK Server,VI SDK UUID
ecbrprap21,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprap23,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprap3,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprap5,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprap6,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprap7,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprarb01,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprbi01,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprcas02,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprcc01,Inconsistent Foldername! VMname = ecbrprcc01 Foldername = ecbrprcc01_1,Foldername,172.20.1.174,172.20.1.174
ecbrprcc01,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprcert01,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprcf01,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprcf01,Inconsistent Foldername! VMname = ecbrprcf01 Foldername = ecbrprcf01_1,Foldername,172.20.1.174,172.20.1.174
ecbrprci1,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprcl1,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprcl1,Inconsistent Foldername! VMname = ecbrprcl1 Foldername = ecbrprcl1-2024-23-02-16h40m46s,Foldername,172.20.1.174,172.20.1.174
ecbrprcl10,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprcl11,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprcl12,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprcl12,Inconsistent Foldername! VMname = ecbrprcl12 Foldername = ecbrprcl12_1,Foldername,172.20.1.174,172.20.1.174
ecbrprcl13,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprcl14,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprcl2,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprcl5,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprcl6,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprcl7,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprcl8,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprcl9,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprct2,On / is 0% disk space available! The threshold value is 10%. Free MB = 0,Storage,172.20.1.174,172.20.1.174
ecbrprct3,Inconsistent Foldername! VMname = ecbrprct3 Foldername = ecbrprct3_1,Foldername,172.20.1.174,172.20.1.174
ecbrprct4,Inconsistent Foldername! VMname = ecbrprct4 Foldername = ecbrprct4_1,Foldername,172.20.1.174,172.20.1.174
ECBRPRE01,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrpre02,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprexc01,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprexc02,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprf02,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprf03,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprf03,Inconsistent Foldername! VMname = ecbrprf03 Foldername = ECBRPRF03,Foldername,172.20.1.174,172.20.1.174
ecbrprf05,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprf06,Inconsistent Foldername! VMname = ecbrprf06 Foldername = ecbrprf06_old,Foldername,172.20.1.174,172.20.1.174
ecbrprf06,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
