Hierarchy,,Information,,Observed Storage,,Performance,,
Group Name,Asset,Server Name,Disk,Observed Disk Capacity (GB),Observed Disk Occupancy (GB),Observed Throughput (MBps),Peak IOPS,ID (server name + uid)
Physical Infrastructure,Default,ecbrprq50,E:,322.1,50.1,251.1,1055,v_FPELBdLd.E:
Physical Infrastructure,Default,ECBRPRF02,C:,160.7,52.2,54,1315,v_Fk5YWKC9.C:
Physical Infrastructure,Default,ECBRPRF02,D:,2199,1957.2,216.3,2078,v_Fk5YWKC9.D:
Physical Infrastructure,Default,ECBRPRF02,F:,214.7,2.9,0,0,v_Fk5YWKC9.F:
Physical Infrastructure,Default,ECBRPRF02,L:,10.7,0.1,33.6,136,v_Fk5YWKC9.L:
Physical Infrastructure,Default,ECBRPRW33,C:,106.8,85.6,16.9,512,v_GEGMyiUx.C:
Physical Infrastructure,Default,ECBRPRW33,D:,107.4,35.6,0.1,28,v_GEGMyiUx.D:
Physical Infrastructure,Default,ECBRPRW53,C:,343.1,204.9,42.8,746,v_GUFidQtd.C:
Physical Infrastructure,Default,ECBRPRW53,D:,85.9,13,0,6,v_GUFidQtd.D:
Physical Infrastructure,Default,ECBRPRW53,E:,85.9,0.2,0,0,v_GUFidQtd.E:
Physical Infrastructure,Default,ecbrprw89,C:,160.3,65.9,15.5,402,v_GrtOI4N7.C:
Physical Infrastructure,Default,ecbrprw89,D:,268.4,138,11.1,2863,v_GrtOI4N7.D:
Physical Infrastructure,Default,ECBRPRW52,C:,160.5,109.3,25.1,681,v_HBaCW0hl.C:
Physical Infrastructure,Default,ECBRPRW52,D:,85.9,7.6,0,2,v_HBaCW0hl.D:
Physical Infrastructure,Default,ECBRPRW52,E:,85.9,0.2,0,0,v_HBaCW0hl.E:
Physical Infrastructure,Default,ecbrprq48,C:,160.5,71.8,18.6,2010,v_HC9bTbiq.C:
Physical Infrastructure,Default,ecbrprq48,D:,128.8,44.6,536.1,3843,v_HC9bTbiq.D:
Physical Infrastructure,Default,ecbrprq48,E:,85.9,5.2,0,10,v_HC9bTbiq.E:
Physical Infrastructure,Default,ECBRPRH02,C:,160.5,51,42.8,916,v_HCYoKZ00.C:
Physical Infrastructure,Default,ECBRPRH02,D:,289.9,189.3,17.4,94,v_HCYoKZ00.D:
Physical Infrastructure,Default,ECBRPRQ71,E:,139.6,17.8,1.8,32,v_HRiwTW6G.E:
Physical Infrastructure,Default,ECBRPRQ71,F:,268.4,165.4,308.1,1329,v_HRiwTW6G.F:
Physical Infrastructure,Default,ECBRPRQ71,G:,268.4,117.8,215.9,11820,v_HRiwTW6G.G:
Physical Infrastructure,Default,ECBRPRQ71,H:,322.1,165.8,340.9,9289,v_HRiwTW6G.H:
Physical Infrastructure,Default,ECBRPRQ71,I:,268.4,112.8,342.5,10182,v_HRiwTW6G.I:
Physical Infrastructure,Default,ECBRPRQ71,J:,268.4,114,196.9,4897,v_HRiwTW6G.J:
Physical Infrastructure,Default,ECBRPRQ71,K:,214.7,60.3,171.7,1287,v_HRiwTW6G.K:
Physical Infrastructure,Default,ECBRPRQ71,L:,214.7,63.5,176.5,1278,v_HRiwTW6G.L:
Physical Infrastructure,Default,ECBRPRQ71,M:,214.7,119.3,254,1443,v_HRiwTW6G.M:
Physical Infrastructure,Default,ECBRPRQ71,N:,214.7,87.4,230.1,1614,v_HRiwTW6G.N:
Physical Infrastructure,Default,ECBRPRQ71,C:,64.3,45.7,17.1,1199,v_HRiwTW6G.C:
Physical Infrastructure,Default,ECBRPRQ71,D:,53.7,1.7,0,0,v_HRiwTW6G.D:
Physical Infrastructure,Default,ECBRPRH03,C:,64.3,29.2,27.4,1636,v_IkigKg2p.C:
Physical Infrastructure,Default,ECBRPRH03,D:,322.1,181.6,11.4,1758,v_IkigKg2p.D:
Physical Infrastructure,Default,ECBRPRH03,E:,483.2,57.9,0,0,v_IkigKg2p.E:
Physical Infrastructure,Default,ecbrprq44,C:,160.5,98.5,133.2,3083,v_JcEUDREN.C:
Physical Infrastructure,Default,ecbrprq44,D:,644.2,462.4,270.8,8127,v_JcEUDREN.D:
Physical Infrastructure,Default,ecbrprq44,T:,322.1,98,117.9,488,v_JcEUDREN.T:
Physical Infrastructure,Default,ecbrprq44,Z:,53.7,2.5,217.3,1322,v_JcEUDREN.Z:
Physical Infrastructure,Default,ECBRPRW86,C:,85.3,42,16.1,758,v_Km5HtTf9.C:
Physical Infrastructure,Default,ECBRPRW86,D:,161,5,0.1,38,v_Km5HtTf9.D:
Physical Infrastructure,Default,ECBRPRW70,C:,160.5,48.4,9.6,3258,v_L4zaEZGj.C:
Physical Infrastructure,Default,ECBRPRW70,D:,53.7,6.5,0,0,v_L4zaEZGj.D:
Physical Infrastructure,Default,ecbrprq64,C:,85.3,51.5,21,916,v_LD9sLYsn.C:
Physical Infrastructure,Default,ecbrprq64,D:,107.4,67.3,0.1,13,v_LD9sLYsn.D:
Physical Infrastructure,Default,ecbrprq64,E:,429.5,165.8,191,806,v_LD9sLYsn.E:
Physical Infrastructure,Default,ecbrprq64,F:,161,48.7,96.3,1812,v_LD9sLYsn.F:
Physical Infrastructure,Default,ecbrprq64,G:,214.7,158.5,152.6,645,v_LD9sLYsn.G:
Physical Infrastructure,Default,ecbrprq64,H:,536.9,362,347.1,1558,v_LD9sLYsn.H:
Physical Infrastructure,Default,ecbrprq64,I:,322.1,260.4,263,1373,v_LD9sLYsn.I:
Physical Infrastructure,Default,ecbrprq64,Z:,96.6,0.4,0.1,27,v_LD9sLYsn.Z:
Physical Infrastructure,Default,ECBRPRW83,D:,137.4,7.1,1.7,35,v_LNlcbOyg.D:
Physical Infrastructure,Default,ECBRPRW83,E:,2188,1026.5,14.3,2136,v_LNlcbOyg.E:
Physical Infrastructure,Default,ECBRPRW83,C:,106.8,43.5,57.3,1900,v_LNlcbOyg.C:
Physical Infrastructure,Default,ecbrprti05,C:,160.5,59,224.6,911,v_LSb1ftN3.C:
Physical Infrastructure,Default,ecbrprti05,D:,161.1,29.9,0,0,v_LSb1ftN3.D:
Physical Infrastructure,Default,ecbrprbi01,C:,160.5,52.3,2.3,294,v_MI8qRg0M.C:
