VM,Powerstate,Template,SRM Placeholder,# CPU,Sockets,# Cores,Max,Overall,Level,Shares,Reservation,Entitlement,DRS Entitlement,Limit,Hot Add,Hot Remove,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VMs,VI SDK Server,VI SDK UUID
ecbrprq24,poweredOn,False,False,8,8,1,20752,2334,normal,8000,0,2409,2360,-1,True,False,,"Tue Jul  8 20:00:13 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx18.bgr.com,/DCP,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 (64-bit),vm-3503,564da612-00af-6510-f0e7-8a60ac053eda,,172.20.1.174,172.20.1.174
ecbrprq25,poweredOff,False,False,4,4,1,11972,0,normal,4000,0,0,0,-1,False,False,"Apagado RFC 2025-001016 lista de observados 16 de mayo 2025 Apagado REQ 2024-073561, RFC 2025-001016 PRY_BGR_SOSTENIBILIDAD 13-06-2025","Fri Jun 13 20:00:13 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP,Microsoft Windows Server 2008 R2 (64-bit),,vm-1679,564d05af-1deb-3b6d-bfe2-7e5eb11a9521,,172.20.1.174,172.20.1.174
ecbrprq30,poweredOn,False,False,8,2,4,20752,1271,normal,8000,0,2413,1297,-1,True,False,,"Sun Jul  6 17:00:10 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Std_noCL",DCP,Cluster_Quito,ecbrprsx18.bgr.com,/DCP,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 (64-bit),vm-1682,423eff83-457c-d9c1-af00-d06f1ae00b49,,172.20.1.174,172.20.1.174
ecbrprq35,poweredOff,False,False,2,2,1,5188,0,normal,2000,0,0,0,-1,True,False,"RFC 2025-001061, marte 3 de junio 20:00 a 21:00","Sun Jul  6 17:00:10 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Std_noCL",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),,vm-1606,423e778e-21f8-d503-5c6a-d1a1a97f9028,,172.20.1.174,172.20.1.174
ecbrprq37,poweredOn,False,False,4,2,2,10776,404,normal,4000,0,1212,377,-1,True,False,,"Sun Jul  6 12:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Ent_noCL",DCP,Cluster_Quito,ecbrprsx19.bgr.com,/DCP,Microsoft Windows Server 2003 (64-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-3575,423eed2e-d270-7e78-1d96-c96114d6f84c,,172.20.1.174,172.20.1.174
ecbrprq38,poweredOn,False,False,4,4,1,10376,3709,normal,4000,0,1212,2983,-1,True,False,Parches 07/02/2023,"Tue Jul  8 20:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx18.bgr.com,/DCP,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),vm-7595,422e9258-c04f-7a70-53d4-1715b596fd62,,172.20.1.174,172.20.1.174
ecbrprq44,poweredOn,False,False,8,4,2,20752,2438,normal,8000,0,2413,2490,-1,True,False,,"Sun Jul  6 17:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Std_noCL",DCP,Cluster_Quito,ecbrprsx15.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-1529,423eb1f3-69e0-6331-e0d4-2efecef4122e,,172.20.1.174,172.20.1.174
ecbrprq45,poweredOn,False,False,16,16,1,41504,1245,normal,16000,0,4818,1271,-1,True,False,,"Sun Jul  6 12:00:24 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Ent_noCL",DCP,Cluster_Quito,ecbrprsx18.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-3650,423e2bc3-acb4-46ab-1733-f3260bf3ee89,,172.20.1.174,172.20.1.174
ecbrprq46,poweredOn,False,False,8,2,4,23944,3501,normal,8000,0,2413,3561,-1,True,False,,"Sun Jul  6 12:00:21 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Ent_noCL",DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-3116,423e3518-7f36-5c91-ef30-212e566a62df,,172.20.1.174,172.20.1.174
ecbrprq48,poweredOn,False,False,2,1,2,6984,1047,normal,2000,0,631,907,-1,True,False,,"Sun Jul  6 12:00:19 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Ent_noCL",DCP,Cluster_Quito,ecbrprsx14.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-3038,423e860f-a647-7fac-041c-3d1d816e193e,,172.20.1.174,172.20.1.174
